step,power,metam,weber,ssim,total,power_term,metam_term,weber_term,ssim_term,power_saving
1,0.04845602810382843,0.04792013019323349,0.3098398447036743,0.29214632511138916,2.7628679275512695,2.4228014051914215,0.04792013019323349,0.0,0.29214632511138916,0.7436943054199219
11,0.10531575977802277,0.049443863332271576,0.3336832523345947,0.2544274926185608,5.569659233093262,5.265787988901138,0.049443863332271576,0.0,0.2544274926185608,0.7201863527297974
21,0.08724462240934372,0.054072264581918716,0.32357093691825867,0.26275014877319336,4.679053783416748,4.362231120467186,0.054072264581918716,0.0,0.26275014877319336,0.7007072567939758
31,0.038924455642700195,0.04252168908715248,0.27534449100494385,0.2249343991279602,2.2136788368225098,1.9462227821350098,0.04252168908715248,0.0,0.2249343991279602,0.6820245385169983
41,0.06616806238889694,0.04722222685813904,0.29130280017852783,0.18422013521194458,3.5398452281951904,3.308403119444847,0.04722222685813904,0.0,0.18422013521194458,0.6515209674835205
51,0.036335598677396774,0.03723936155438423,0.1849936991930008,0.145374596118927,1.9993939399719238,1.8167799338698387,0.03723936155438423,0.0,0.145374596118927,0.6214090585708618
61,0.041802775114774704,0.035755082964897156,0.25310465693473816,0.1597030758857727,2.2855968475341797,2.090138755738735,0.035755082964897156,0.0,0.1597030758857727,0.5775597095489502
71,0.050482939928770065,0.03695327416062355,0.22518107295036316,0.12092316150665283,2.682023525238037,2.5241469964385033,0.03695327416062355,0.0,0.12092316150665283,0.5377660989761353
81,0.0392027422785759,0.03258588910102844,0.214700847864151,0.09570503234863281,2.088428020477295,1.9601371139287949,0.03258588910102844,0.0,0.09570503234863281,0.49899929761886597
91,0.02757527120411396,0.029043879359960556,0.18317803740501404,0.07531976699829102,1.483127236366272,1.378763560205698,0.029043879359960556,0.0,0.07531976699829102,0.44180774688720703
101,0.01691938377916813,0.026789581403136253,0.17377445101737976,0.05639195442199707,0.9291507601737976,0.8459691889584064,0.026789581403136253,0.0,0.05639195442199707,0.4126073718070984
111,0.008718355558812618,0.02599509060382843,0.14691168069839478,0.0457194447517395,0.507632315158844,0.4359177779406309,0.02599509060382843,0.0,0.0457194447517395,0.3684138059616089
121,0.005419161636382341,0.022464463487267494,0.1313750445842743,0.035345375537872314,0.32876792550086975,0.27095808181911707,0.022464463487267494,0.0,0.035345375537872314,0.3282049894332886
131,0.0021937466226518154,0.01461128331720829,0.11542928963899612,0.030487358570098877,0.15478596091270447,0.10968733113259077,0.01461128331720829,0.0,0.030487358570098877,0.2923717498779297
141,0.0018219101475551724,0.011773989535868168,0.10421708226203918,0.024280071258544922,0.1271495670080185,0.09109550737775862,0.011773989535868168,0.0,0.024280071258544922,0.25045281648635864
151,0.0012447049375623465,0.012201786041259766,0.10478773713111877,0.019592583179473877,0.09402962028980255,0.06223524687811732,0.012201786041259766,0.0,0.019592583179473877,0.24148213863372803
161,0.0006162055069580674,0.01098906621336937,0.10244128108024597,0.018656253814697266,0.060455597937107086,0.03081027534790337,0.01098906621336937,0.0,0.018656253814697266,0.2277398705482483
171,0.00023782020434737206,0.012002569623291492,0.09351415932178497,0.014326155185699463,0.03821973502635956,0.011891010217368603,0.012002569623291492,0.0,0.014326155185699463,0.2016049027442932
181,0.00025820016162469983,0.011355693452060223,0.08954794704914093,0.014248371124267578,0.03851407393813133,0.012910008081234992,0.011355693452060223,0.0,0.014248371124267578,0.2035427689552307
191,0.00010090246360050514,0.009388350881636143,0.09028688073158264,0.014065265655517578,0.028498739004135132,0.005045123180025257,0.009388350881636143,0.0,0.014065265655517578,0.19796091318130493
201,6.29928836133331e-05,0.008854171261191368,0.08361397683620453,0.015165209770202637,0.02716902643442154,0.0031496441806666553,0.008854171261191368,0.0,0.015165209770202637,0.19677335023880005
211,0.00022473768331110477,0.011508769355714321,0.08679955452680588,0.011330246925354004,0.03407590091228485,0.011236884165555239,0.011508769355714321,0.0,0.011330246925354004,0.2064039707183838
221,2.7079982828581706e-05,0.0084640271961689,0.0807691216468811,0.014049530029296875,0.02386755682528019,0.0013539991414290853,0.0084640271961689,0.0,0.014049530029296875,0.18937408924102783
231,9.558117017149925e-05,0.008559967391192913,0.06071409955620766,0.01192408800125122,0.025263113901019096,0.004779058508574963,0.008559967391192913,0.0,0.01192408800125122,0.1508203148841858
241,4.493965388974175e-05,0.010067125782370567,0.08059003949165344,0.010548889636993408,0.0228629969060421,0.0022469826944870874,0.010067125782370567,0.0,0.010548889636993408,0.18984681367874146
251,1.6930898709688336e-05,0.009539184160530567,0.0790102407336235,0.00986337661743164,0.020249105989933014,0.0008465449354844168,0.009539184160530567,0.0,0.00986337661743164,0.1668769121170044
261,2.0000004496978363e-07,0.008379722014069557,0.08228760957717896,0.011405527591705322,0.0197952501475811,1.0000002248489182e-05,0.008379722014069557,0.0,0.011405527591705322,0.1788257360458374
271,6.944381311768666e-05,0.010712218470871449,0.08165823668241501,0.009913444519042969,0.024097852408885956,0.003472190655884333,0.010712218470871449,0.0,0.009913444519042969,0.19400519132614136
281,0.00015944578626658767,0.00816261675208807,0.05842301622033119,0.011022627353668213,0.027157533913850784,0.007972289313329384,0.00816261675208807,0.0,0.011022627353668213,0.14436328411102295
