step,power,metam,weber,ssim,total,power_term,metam_term,weber_term,ssim_term,power_saving
1,0.22938118875026703,0.05049366503953934,0.35603201389312744,0.2640026807785034,11.783555030822754,11.469059437513351,0.05049366503953934,0.0,0.2640026807785034,0.7485281825065613
11,0.15816166996955872,0.06108223274350166,0.35183849930763245,0.2704768180847168,8.239643096923828,7.908083498477936,0.06108223274350166,0.0,0.2704768180847168,0.7232547998428345
21,0.12444328516721725,0.05995551496744156,0.3167259693145752,0.25979214906692505,6.541912078857422,6.222164258360863,0.05995551496744156,0.0,0.25979214906692505,0.700698733329773
31,0.17435282468795776,0.046410370618104935,0.309268057346344,0.19889026880264282,8.962942123413086,8.717641234397888,0.046410370618104935,0.0,0.19889026880264282,0.6673011779785156
41,0.13115094602108002,0.057213347405195236,0.2907858192920685,0.20100712776184082,6.815767288208008,6.557547301054001,0.057213347405195236,0.0,0.20100712776184082,0.6416010856628418
51,0.0649724155664444,0.05268837884068489,0.2562164068222046,0.18252193927764893,3.4838309288024902,3.24862077832222,0.05268837884068489,0.0,0.18252193927764893,0.6106641292572021
61,0.10922430455684662,0.03966757655143738,0.25435495376586914,0.13273459672927856,5.633617401123047,5.461215227842331,0.03966757655143738,0.0,0.13273459672927856,0.5582424402236938
71,0.045262619853019714,0.04228087142109871,0.22395721077919006,0.12097269296646118,2.426384449005127,2.2631309926509857,0.04228087142109871,0.0,0.12097269296646118,0.5308830142021179
81,0.03642529994249344,0.03512195870280266,0.21516740322113037,0.1097719669342041,1.9661588668823242,1.821264997124672,0.03512195870280266,0.0,0.1097719669342041,0.47261810302734375
91,0.03399764373898506,0.03504638746380806,0.1907402127981186,0.07936334609985352,1.8142918348312378,1.699882186949253,0.03504638746380806,0.0,0.07936334609985352,0.4414413571357727
101,0.029079023748636246,0.03189915418624878,0.17248958349227905,0.06141263246536255,1.5472629070281982,1.4539511874318123,0.03189915418624878,0.0,0.06141263246536255,0.3889976143836975
111,0.015820184722542763,0.02291904203593731,0.16519589722156525,0.048105716705322266,0.862034022808075,0.7910092361271381,0.02291904203593731,0.0,0.048105716705322266,0.3578956723213196
121,0.010063417255878448,0.019715923815965652,0.14936946332454681,0.03775912523269653,0.5606458783149719,0.5031708627939224,0.019715923815965652,0.0,0.03775912523269653,0.3211876153945923
131,0.005751786287873983,0.018286556005477905,0.12237318605184555,0.03061467409133911,0.33649054169654846,0.28758931439369917,0.018286556005477905,0.0,0.03061467409133911,0.275321900844574
141,0.004206276498734951,0.016414280980825424,0.12316180020570755,0.024364233016967773,0.2510923445224762,0.21031382493674755,0.016414280980825424,0.0,0.024364233016967773,0.25639110803604126
151,0.0012894261162728071,0.013817758299410343,0.10523055493831635,0.022873401641845703,0.10116246342658997,0.06447130581364036,0.013817758299410343,0.0,0.022873401641845703,0.22844314575195312
161,0.00040831996011547744,0.012085463851690292,0.10173796862363815,0.01955592632293701,0.05205738544464111,0.020415998005773872,0.012085463851690292,0.0,0.01955592632293701,0.19927716255187988
171,0.0006716102361679077,0.013787676580250263,0.09785354882478714,0.017322838306427002,0.06469102203845978,0.033580511808395386,0.013787676580250263,0.0,0.017322838306427002,0.21082550287246704
181,1.5891055227257311e-07,0.009854448027908802,0.08610336482524872,0.01851797103881836,0.028380364179611206,7.945527613628656e-06,0.009854448027908802,0.0,0.01851797103881836,0.17532140016555786
