step,power,metam,weber,ssim,total,power_term,metam_term,weber_term,ssim_term,power_saving
1,0.0004782259638886899,0.006739528849720955,0.01516396552324295,0.0062296390533447266,0.01536029763519764,0.0023911298194434494,0.006739528849720955,0.0,0.0062296390533447266,0.14118742942810059
11,0.0009856396354734898,0.007831988856196404,0.02143862470984459,0.006084918975830078,0.018845105543732643,0.004928198177367449,0.007831988856196404,0.0,0.006084918975830078,0.14860951900482178
21,0.0012053544633090496,0.0077570718713104725,0.019870247691869736,0.005988121032714844,0.019771965220570564,0.006026772316545248,0.0077570718713104725,0.0,0.005988121032714844,0.13610845804214478
31,0.00040335842641070485,0.006905327085405588,0.015656987205147743,0.006556868553161621,0.015478987246751785,0.0020167921320535243,0.006905327085405588,0.0,0.006556868553161621,0.14630001783370972
41,0.000606866437010467,0.008604967966675758,0.02151726558804512,0.0058536529541015625,0.017492953687906265,0.0030343321850523353,0.008604967966675758,0.0,0.0058536529541015625,0.15718716382980347
51,0.0004998055519536138,0.006568476092070341,0.014264386147260666,0.0045302510261535645,0.013597754761576653,0.002499027759768069,0.006568476092070341,0.0,0.0045302510261535645,0.14825350046157837
61,0.0006575477309525013,0.007133059669286013,0.02116367220878601,0.007013916969299316,0.01743471622467041,0.0032877386547625065,0.007133059669286013,0.0,0.007013916969299316,0.1518062949180603
71,0.0011938865063712,0.007300949189811945,0.02017749473452568,0.006181001663208008,0.019451383501291275,0.005969432531856,0.007300949189811945,0.0,0.006181001663208008,0.1440906524658203
81,0.0006897153798490763,0.008149534463882446,0.02283194661140442,0.006454288959503174,0.018052399158477783,0.0034485768992453814,0.008149534463882446,0.0,0.006454288959503174,0.1609068512916565
91,0.0010535744950175285,0.0074614472687244415,0.020648257806897163,0.006403565406799316,0.019132886081933975,0.005267872475087643,0.0074614472687244415,0.0,0.006403565406799316,0.1482534408569336
101,0.00038626822060905397,0.009062737226486206,0.022866029292345047,0.006367802619934082,0.017361881211400032,0.0019313411030452698,0.009062737226486206,0.0,0.006367802619934082,0.16920417547225952
111,0.0006252446910366416,0.00823917519301176,0.01861085556447506,0.006426572799682617,0.017791971564292908,0.003126223455183208,0.00823917519301176,0.0,0.006426572799682617,0.14992451667785645
121,0.0006867600022815168,0.008078891783952713,0.01826551929116249,0.006177306175231934,0.01768999919295311,0.003433800011407584,0.008078891783952713,0.0,0.006177306175231934,0.14731204509735107
131,0.00044490379514172673,0.006593787577003241,0.015370695851743221,0.006179928779602051,0.014998234808444977,0.0022245189757086337,0.006593787577003241,0.0,0.006179928779602051,0.14479726552963257
141,0.0014041202375665307,0.005772295407950878,0.01750357821583748,0.005896866321563721,0.01868976280093193,0.0070206011878326535,0.005772295407950878,0.0,0.005896866321563721,0.1390979290008545
151,0.0008457783260382712,0.006780127063393593,0.019464075565338135,0.005872845649719238,0.01688186451792717,0.004228891630191356,0.006780127063393593,0.0,0.005872845649719238,0.1459330916404724
161,0.0006508869701065123,0.007139029912650585,0.020925510674715042,0.006633102893829346,0.017026567831635475,0.0032544348505325615,0.007139029912650585,0.0,0.006633102893829346,0.15364813804626465
171,0.0010215146467089653,0.007455775514245033,0.020421823486685753,0.006085515022277832,0.018648862838745117,0.0051075732335448265,0.007455775514245033,0.0,0.006085515022277832,0.14532136917114258
181,0.0007457668543793261,0.007830317132174969,0.020142685621976852,0.00613248348236084,0.017691634595394135,0.0037288342718966305,0.007830317132174969,0.0,0.00613248348236084,0.15033626556396484
191,0.0006849367637187243,0.007062252145260572,0.020615827292203903,0.006404519081115723,0.01689145527780056,0.0034246838185936213,0.007062252145260572,0.0,0.006404519081115723,0.15235692262649536
201,0.0003350982442498207,0.006491674575954676,0.017540516331791878,0.007140398025512695,0.015307564288377762,0.0016754912212491035,0.006491674575954676,0.0,0.007140398025512695,0.15336114168167114
211,0.0004624136781785637,0.008774061687290668,0.02203609049320221,0.005782008171081543,0.016868138685822487,0.0023120683908928186,0.008774061687290668,0.0,0.005782008171081543,0.16604512929916382
221,0.0003074501291848719,0.006582231260836124,0.01768803596496582,0.007254838943481445,0.015374320559203625,0.0015372506459243596,0.006582231260836124,0.0,0.007254838943481445,0.1555081009864807
231,0.0008553426014259458,0.007020449731498957,0.013480150140821934,0.006108641624450684,0.017405804246664047,0.004276713007129729,0.007020449731498957,0.0,0.006108641624450684,0.13541781902313232
241,0.000692272384185344,0.007986892946064472,0.022351238876581192,0.005817711353302002,0.017265966162085533,0.00346136192092672,0.007986892946064472,0.0,0.005817711353302002,0.16182494163513184
251,0.0009424953605048358,0.007515238132327795,0.020363666117191315,0.0060350894927978516,0.018262803554534912,0.004712476802524179,0.007515238132327795,0.0,0.0060350894927978516,0.14791733026504517
261,0.0006467270432040095,0.0071034617722034454,0.020462974905967712,0.006276488304138184,0.016613585874438286,0.0032336352160200477,0.0071034617722034454,0.0,0.006276488304138184,0.15379244089126587
271,0.0005676159635186195,0.008484827354550362,0.021217573434114456,0.005313754081726074,0.016636662185192108,0.0028380798175930977,0.008484827354550362,0.0,0.005313754081726074,0.16136085987091064
281,0.000909326015971601,0.006848551798611879,0.013112349435687065,0.005675196647644043,0.017070379108190536,0.004546630079858005,0.006848551798611879,0.0,0.005675196647644043,0.13355803489685059
291,0.0007784637855365872,0.006871215999126434,0.019261207431554794,0.005759716033935547,0.016523251309990883,0.003892318927682936,0.006871215999126434,0.0,0.005759716033935547,0.1486128568649292
300,0.0006580062909051776,0.0070601035840809345,0.020205557346343994,0.006118416786193848,0.016468551009893417,0.003290031454525888,0.0070601035840809345,0.0,0.006118416786193848,0.1530684232711792
