step,power,metam,weber,ssim,total,power_term,metam_term,weber_term,ssim_term,power_saving
1,0.004709272645413876,0.008647268638014793,0.01908857189118862,0.004716694355010986,0.03691032528877258,0.023546363227069378,0.008647268638014793,0.0,0.004716694355010986,0.12285512685775757
11,0.0038534041959792376,0.007494855672121048,0.024435658007860184,0.004392147064208984,0.031154023483395576,0.019267020979896188,0.007494855672121048,0.0,0.004392147064208984,0.13439786434173584
21,0.0026352491695433855,0.008973090909421444,0.02527908980846405,0.005617499351501465,0.027766834944486618,0.013176245847716928,0.008973090909421444,0.0,0.005617499351501465,0.14803075790405273
31,0.0022894241847097874,0.010213707573711872,0.022559545934200287,0.006336688995361328,0.027997516095638275,0.011447120923548937,0.010213707573711872,0.0,0.006336688995361328,0.14630979299545288
41,0.0017131026834249496,0.010785541497170925,0.0272857453674078,0.006450653076171875,0.025801707059144974,0.008565513417124748,0.010785541497170925,0.0,0.006450653076171875,0.16035884618759155
51,0.001630241284146905,0.008887100033462048,0.02700735069811344,0.007155478000640869,0.024193784222006798,0.008151206420734525,0.008887100033462048,0.0,0.007155478000640869,0.15314596891403198
61,0.0008387673296965659,0.011632396839559078,0.025730211287736893,0.007989764213562012,0.023815996944904327,0.004193836648482829,0.011632396839559078,0.0,0.007989764213562012,0.16775953769683838
71,0.0010558334179222584,0.008866614662110806,0.026687517762184143,0.00850975513458252,0.022655537351965904,0.005279167089611292,0.008866614662110806,0.0,0.00850975513458252,0.1639966368675232
81,0.00018473772797733545,0.010811856016516685,0.033008746802806854,0.007471442222595215,0.01920698583126068,0.0009236886398866773,0.010811856016516685,0.0,0.007471442222595215,0.18751734495162964
91,0.0001864559599198401,0.01139883790165186,0.03201998397707939,0.008625030517578125,0.020956147462129593,0.0009322797995992005,0.01139883790165186,0.0,0.008625030517578125,0.18826669454574585
101,0.0002817611093632877,0.012498683296144009,0.03159940987825394,0.008426308631896973,0.022333797067403793,0.0014088055468164384,0.012498683296144009,0.0,0.008426308631896973,0.1864439845085144
111,0.00044545336277224123,0.010964149609208107,0.031371813267469406,0.00834953784942627,0.02154095470905304,0.002227266813861206,0.010964149609208107,0.0,0.00834953784942627,0.1803993582725525
121,0.00039461019332520664,0.011041988618671894,0.031593114137649536,0.00843513011932373,0.021450169384479523,0.001973050966626033,0.011041988618671894,0.0,0.00843513011932373,0.1818416714668274
131,0.0002094821393257007,0.01271168515086174,0.028588350862264633,0.009325087070465088,0.023084182292222977,0.0010474106966285035,0.01271168515086174,0.0,0.009325087070465088,0.18237966299057007
141,9.863123705144972e-05,0.010052434168756008,0.03322260081768036,0.008484125137329102,0.019029714167118073,0.0004931561852572486,0.010052434168756008,0.0,0.008484125137329102,0.19026750326156616
151,0.00021070548973511904,0.011890812776982784,0.03421127796173096,0.007788181304931641,0.020732522010803223,0.0010535274486755952,0.011890812776982784,0.0,0.007788181304931641,0.18780410289764404
161,0.00022458848252426833,0.012591810896992683,0.02806875668466091,0.009113669395446777,0.022828422486782074,0.0011229424126213416,0.012591810896992683,0.0,0.009113669395446777,0.1844877004623413
171,7.802699838066474e-05,0.011678421869874,0.03289305418729782,0.008913516998291016,0.02098207361996174,0.0003901349919033237,0.011678421869874,0.0,0.008913516998291016,0.19424563646316528
181,0.0001487425179220736,0.010091871954500675,0.03257297724485397,0.009099364280700684,0.019934948533773422,0.000743712589610368,0.010091871954500675,0.0,0.009099364280700684,0.18984532356262207
191,0.00021221363567747176,0.01259005069732666,0.02812471054494381,0.009070873260498047,0.022721990942955017,0.0010610681783873588,0.01259005069732666,0.0,0.009070873260498047,0.18525081872940063
201,0.00041030001011677086,0.011669380590319633,0.030914492905139923,0.008556365966796875,0.02227724716067314,0.0020515000505838543,0.011669380590319633,0.0,0.008556365966796875,0.18275737762451172
211,0.0001696735416771844,0.012696013785898685,0.032202303409576416,0.008525490760803223,0.022069871425628662,0.000848367708385922,0.012696013785898685,0.0,0.008525490760803223,0.19133323431015015
221,0.0004294569371268153,0.009782862849533558,0.034340158104896545,0.006996452808380127,0.018926599994301796,0.0021472846856340766,0.009782862849533558,0.0,0.006996452808380127,0.18303728103637695
231,0.0004632907803170383,0.009736328385770321,0.03419427573680878,0.006933808326721191,0.018986590206623077,0.0023164539015851915,0.009736328385770321,0.0,0.006933808326721191,0.18234026432037354
241,0.00022797226847615093,0.010161607526242733,0.03326842188835144,0.007894515991210938,0.019195985049009323,0.0011398613423807546,0.010161607526242733,0.0,0.007894515991210938,0.1867174506187439
251,7.082298543537036e-05,0.01168809924274683,0.032940447330474854,0.00878816843032837,0.02083038166165352,0.0003541149271768518,0.01168809924274683,0.0,0.00878816843032837,0.19542014598846436
261,0.00018277918570674956,0.012600719928741455,0.028272103518247604,0.00897437334060669,0.022488988935947418,0.0009138959285337478,0.012600719928741455,0.0,0.00897437334060669,0.18716871738433838
271,0.00012883277668152004,0.012788193300366402,0.0324554517865181,0.008552193641662598,0.02198455110192299,0.0006441638834076002,0.012788193300366402,0.0,0.008552193641662598,0.19357293844223022
281,0.0007267363835126162,0.010619106702506542,0.03359246999025345,0.007320404052734375,0.02157319337129593,0.003633681917563081,0.010619106702506542,0.0,0.007320404052734375,0.18028563261032104
291,0.00021594969439320266,0.011847181245684624,0.034113526344299316,0.007648289203643799,0.02057521790266037,0.0010797484719660133,0.011847181245684624,0.0,0.007648289203643799,0.18867111206054688
300,0.00021148662199266255,0.012487608008086681,0.02803642302751541,0.008751451969146729,0.022296492010354996,0.0010574331099633127,0.012487608008086681,0.0,0.008751451969146729,0.18614697456359863
