filename,power_saving,psnr,ssim,metam
div2k_hr/0001.png,0.16000020503997803,31.556364356808146,0.9928770661354065,1.078776676877169e-05
div2k_hr/0002.png,0.16000020503997803,31.30131873932351,0.993689239025116,1.0953441233141348e-05
div2k_hr/0003.png,0.16000020503997803,26.55583064250027,0.9947901368141174,1.8242977603222243e-05
div2k_hr/0004.png,0.1600002646446228,26.353855113780014,0.995794951915741,1.580837670189794e-05
div2k_hr/0005.png,0.16000020503997803,26.343026480993046,0.9948315620422363,1.6294707165798172e-05
div2k_hr/0006.png,0.16000020503997803,29.51789694731842,0.9946601986885071,1.58890488819452e-05
div2k_hr/0007.png,0.16000020503997803,29.769005324212966,0.9934538006782532,1.4124970221018884e-05
div2k_hr/0008.png,0.16000020503997803,27.22696121887889,0.9944197535514832,2.0748340830323286e-05
div2k_hr/0009.png,0.1600002646446228,26.7117507002742,0.9945980906486511,1.7087411833927035e-05
div2k_hr/0010.png,0.1600002646446228,28.74897955910887,0.9948239326477051,1.4521406228595879e-05
div2k_hr/0011.png,0.16000014543533325,28.68371625361263,0.9942874908447266,1.4813520465395413e-05
div2k_hr/0012.png,0.16000014543533325,29.24043297574149,0.9938919544219971,1.2631572644750122e-05
div2k_hr/0013.png,0.16000014543533325,32.57583438688092,0.9948659539222717,6.4090399973792955e-06
div2k_hr/0014.png,0.1600002646446228,27.942041045702673,0.994592010974884,1.4346681382448878e-05
div2k_hr/0015.png,0.16000020503997803,28.776636726230915,0.9945835471153259,1.824981882236898e-05
div2k_hr/0016.png,0.16000020503997803,26.90877088529789,0.9942982792854309,1.310644165641861e-05
div2k_hr/0017.png,0.16000014543533325,27.262105491138694,0.9941136837005615,1.5493822502321564e-05
div2k_hr/0018.png,0.1600000262260437,28.628901655548997,0.9935640692710876,1.7490969185018912e-05
div2k_hr/0019.png,0.16000020503997803,29.638885578325194,0.9935830235481262,1.3379149095271714e-05
div2k_hr/0020.png,0.16000020503997803,30.886532460760712,0.9943898320198059,1.069462359737372e-05
div2k_hr/0021.png,0.16000020503997803,27.772142748819036,0.9947376251220703,1.8669688870431855e-05
div2k_hr/0022.png,0.16000020503997803,28.00894353303189,0.9945455193519592,1.5555126083199866e-05
div2k_hr/0023.png,0.16000020503997803,29.127092558881927,0.9955080151557922,9.724489245854784e-06
div2k_hr/0024.png,0.16000020503997803,30.16197910548437,0.992460310459137,8.307374628202524e-06
div2k_hr/0025.png,0.16000032424926758,30.318610088626542,0.9945939183235168,1.3179400411900133e-05
div2k_hr/0026.png,0.16000020503997803,28.46344104450061,0.992997407913208,1.773597796272952e-05
div2k_hr/0027.png,0.1600002646446228,29.48861877227785,0.9951729774475098,1.3526366274163593e-05
div2k_hr/0028.png,0.16000020503997803,26.88893888146059,0.9947535991668701,1.8438417100696824e-05
div2k_hr/0029.png,0.16000020503997803,30.283487998737442,0.9925081729888916,1.5633690054528415e-05
div2k_hr/0030.png,0.16000020503997803,27.402133220171425,0.9947872161865234,1.7905516870087013e-05
div2k_hr/0031.png,0.1600002646446228,28.047362970096007,0.9942174553871155,2.1254169041640125e-05
div2k_hr/0032.png,0.16000020503997803,27.164135330270863,0.9954531788825989,1.3047389074927196e-05
div2k_hr/0033.png,0.1600002646446228,28.264350403277714,0.9937141537666321,1.2522064935183153e-05
div2k_hr/0034.png,0.16000008583068848,28.29923156394548,0.9933211207389832,1.7304631910519674e-05
div2k_hr/0035.png,0.16000032424926758,28.066773988830562,0.994502604007721,1.5242620975186583e-05
div2k_hr/0036.png,0.16000014543533325,24.77337017402782,0.996257483959198,1.8305045159650035e-05
div2k_hr/0037.png,0.16000020503997803,32.55538738174352,0.9928655624389648,1.29400223158882e-05
div2k_hr/0038.png,0.16000014543533325,29.612979662672462,0.9933374524116516,2.028440940193832e-05
div2k_hr/0039.png,0.16000020503997803,29.0452775574347,0.9946301579475403,1.2643413356272504e-05
div2k_hr/0040.png,0.16000014543533325,28.463381468253107,0.9960276484489441,1.4084736903896555e-05
div2k_hr/0041.png,0.16000020503997803,26.952246795999045,0.9946792125701904,1.715889993647579e-05
div2k_hr/0042.png,0.16000032424926758,30.333427576335104,0.9939936995506287,1.0935643331322353e-05
div2k_hr/0043.png,0.16000014543533325,26.552815726719764,0.9951462149620056,1.6982863598968834e-05
div2k_hr/0044.png,0.16000014543533325,29.03265634261109,0.993976354598999,1.5672714653192088e-05
div2k_hr/0045.png,0.16000014543533325,25.464771628158505,0.9951832890510559,1.6831547327456065e-05
div2k_hr/0046.png,0.16000020503997803,28.42334480667828,0.9947894215583801,1.4703618035127874e-05
div2k_hr/0047.png,0.16000020503997803,26.937735479647607,0.99546879529953,1.5128995983104687e-05
div2k_hr/0048.png,0.1600002646446228,30.007447633881462,0.9933722019195557,1.829465509217698e-05
div2k_hr/0049.png,0.16000014543533325,27.7328266793634,0.9952947497367859,1.872375469247345e-05
div2k_hr/0050.png,0.16000020503997803,28.81284635611256,0.9940865635871887,1.0261744137096684e-05
div2k_hr/0051.png,0.16000020503997803,29.267771555272745,0.9937222599983215,1.3942868463345803e-05
div2k_hr/0052.png,0.16000020503997803,28.683406310035828,0.994213879108429,1.542990685265977e-05
