step,power,metam,weber,ssim,total,power_term,metam_term,weber_term,ssim_term,power_saving
1,0.06014865264296532,0.06016052886843681,0.09142842888832092,0.3732879161834717,0.5174674987792969,0.3007432632148266,0.030080264434218407,0.0,0.18664395809173584,0.8106221556663513
11,0.5933773517608643,0.08555272966623306,0.16950398683547974,0.3769884705543518,3.19815731048584,2.9668867588043213,0.04277636483311653,0.0,0.1884942352771759,0.8028224110603333
21,0.2777290642261505,0.059986721724271774,0.16586272418498993,0.31235361099243164,1.5748155117034912,1.3886453211307526,0.029993360862135887,0.0,0.15617680549621582,0.773025631904602
31,0.055424485355615616,0.0435497872531414,0.09087967872619629,0.2833917737007141,0.4405932128429413,0.2771224267780781,0.0217748936265707,0.0,0.14169588685035706,0.7599585056304932
41,0.08441228419542313,0.04846515133976936,0.10491969436407089,0.2915515899658203,0.5920697450637817,0.42206142097711563,0.02423257566988468,0.0,0.14577579498291016,0.7439924478530884
51,0.30673694610595703,0.06491173058748245,0.13916431367397308,0.2671692967414856,1.6997252702713013,1.5336847305297852,0.032455865293741226,0.0,0.1335846483707428,0.733218789100647
61,0.04810570552945137,0.03994739428162575,0.08313266932964325,0.23545348644256592,0.37822896242141724,0.24052852764725685,0.019973697140812874,0.0,0.11772674322128296,0.7144073247909546
71,0.20452915132045746,0.05350866913795471,0.13622793555259705,0.2229076623916626,1.1608538627624512,1.0226457566022873,0.026754334568977356,0.0,0.1114538311958313,0.7014391422271729
81,0.013456356711685658,0.03455878049135208,0.07074812799692154,0.23741090297698975,0.20326662063598633,0.06728178355842829,0.01727939024567604,0.0,0.11870545148849487,0.6645739078521729
91,0.1336957812309265,0.04431683570146561,0.11386340856552124,0.1942077875137329,0.7877412438392639,0.6684789061546326,0.022158417850732803,0.0,0.09710389375686646,0.643798828125
101,0.05164783447980881,0.03690096363425255,0.08092258870601654,0.16523629426956177,0.35930779576301575,0.25823917239904404,0.018450481817126274,0.0,0.08261814713478088,0.606061577796936
111,0.3673275411128998,0.045574482530355453,0.12303334474563599,0.11230802536010742,1.9155789613723755,1.836637705564499,0.022787241265177727,0.0,0.05615401268005371,0.5602288246154785
121,0.2940467894077301,0.04151009023189545,0.11085421591997147,0.08875304460525513,1.5353654623031616,1.4702339470386505,0.020755045115947723,0.0,0.044376522302627563,0.5126378536224365
131,0.022171543911099434,0.0280138086527586,0.056838084012269974,0.10379886627197266,0.17676405608654022,0.11085771955549717,0.0140069043263793,0.0,0.05189943313598633,0.4935868978500366
141,0.06398787349462509,0.033585015684366226,0.07690729200839996,0.07605946063995361,0.3747616112232208,0.31993936747312546,0.016792507842183113,0.0,0.03802973031997681,0.45396512746810913
151,0.013551388867199421,0.023082345724105835,0.059115830808877945,0.07325154542922974,0.11592388898134232,0.0677569443359971,0.011541172862052917,0.0,0.03662577271461487,0.4342230558395386
161,0.18545100092887878,0.029482552781701088,0.06846237182617188,0.020550131797790527,0.9522714018821716,0.9272550046443939,0.014741276390850544,0.0,0.010275065898895264,0.2962192893028259
171,0.017671536654233932,0.020510394126176834,0.051579367369413376,0.04025566577911377,0.11874071508646011,0.08835768327116966,0.010255197063088417,0.0,0.020127832889556885,0.3218050003051758
181,0.045494597405195236,0.023889396339654922,0.05705522745847702,0.02727562189102173,0.25305551290512085,0.22747298702597618,0.011944698169827461,0.0,0.013637810945510864,0.2958219051361084
191,0.01403717789798975,0.019493386149406433,0.04821828752756119,0.023552536964416504,0.09170885384082794,0.07018588948994875,0.009746693074703217,0.0,0.011776268482208252,0.29585206508636475
201,0.009565146639943123,0.021139103919267654,0.034263819456100464,0.02221357822418213,0.06950207054615021,0.047825733199715614,0.010569551959633827,0.0,0.011106789112091064,0.23969316482543945
211,0.002388940891250968,0.013010255992412567,0.031909093260765076,0.018769502639770508,0.027834583073854446,0.01194470445625484,0.006505127996206284,0.0,0.009384751319885254,0.2634446620941162
221,0.0023291746620088816,0.014027563855051994,0.033538833260536194,0.011557698249816895,0.02443850412964821,0.011645873310044408,0.007013781927525997,0.0,0.005778849124908447,0.1567932367324829
231,0.0013204525457695127,0.01326589286327362,0.024140939116477966,0.015518665313720703,0.02099454216659069,0.006602262728847563,0.00663294643163681,0.0,0.0077593326568603516,0.21940290927886963
241,0.001191066694445908,0.012674437835812569,0.02576768398284912,0.015827655792236328,0.020206380635499954,0.00595533347222954,0.006337218917906284,0.0,0.007913827896118164,0.22640126943588257
251,0.004090792033821344,0.013839740306138992,0.03492720052599907,0.01050502061843872,0.03262633830308914,0.020453960169106722,0.006919870153069496,0.0,0.00525251030921936,0.20073270797729492
261,0.0015976494178175926,0.011562621220946312,0.031665392220020294,0.012738704681396484,0.02013891004025936,0.007988247089087963,0.005781310610473156,0.0,0.006369352340698242,0.21254587173461914
271,0.001916461274959147,0.012906176969408989,0.031097594648599625,0.008469700813293457,0.020270245149731636,0.009582306374795735,0.0064530884847044945,0.0,0.0042348504066467285,0.1681917905807495
